Rank,Track,Artist1,Artist2,Album,Release,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
53,Girl In Mine,Parmalee,,Girl In Mine,2023-09-22,63,154733,0.464,0.683,8,-4.238,1,0.0439,0.164,0,0.106,0.887,201.972
54,Whiskey On You,Nate Smith,,Whiskey On You,2023-04-28,74,183786,0.473,0.751,8,-5.196,1,0.0318,9.91E-05,0.0181,0.118,0.569,110.025
55,Gulf Wind,Clayton Mann,,Gulf Wind,2024-04-19,39,209610,0.539,0.849,0,-4.332,0,0.0493,0.0531,0,0.083,0.528,118.007
56,Giving Up On That,Dalton Dover,,Giving Up On That,2023-02-17,50,211533,0.484,0.864,3,-4.593,1,0.0467,0.0324,0,0.0926,0.425,137.989
57,Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch,MacKenzie Porter,Blue In The Sky,2022-02-11,72,171626,0.364,0.745,8,-3.293,1,0.0596,0.146,0,0.0887,0.785,203.912
58,5 Leaf Clover,Luke Combs,,5 Leaf Clover,2023-03-24,66,211053,0.423,0.58,1,-4.959,1,0.0243,0.0554,0.00000292,0.168,0.336,82.755
59,I Wrote The Book,Morgan Wallen,,3 Songs At A Time Sampler,2023-03-03,68,181766,0.686,0.833,2,-3.768,1,0.0381,0.0619,0.0000376,0.0657,0.833,143.965
60,Mountain With A View,Kelsea Ballerini,,Rolling Up the Welcome Mat,2023-02-14,54,177920,0.436,0.434,10,-7.153,1,0.0502,0.679,0,0.419,0.447,117.836
61,"You, Me, And Whiskey",Justin Moore,Priscilla Block,"You, Me, And Whiskey",2023-05-05,64,187941,0.555,0.88,0,-4.351,0,0.0535,0.0803,0,0.174,0.422,144.076
62,Love You Anyway,Luke Combs,,Love You Anyway,2023-03-24,71,229626,0.532,0.489,4,-7.419,1,0.0311,0.149,0,0.237,0.32,139.807
63,Tennessee Orange,Megan Moroney,,Tennessee Orange,2023-05-05,77,223119,0.38,0.488,9,-6.637,1,0.029,0.126,0.00000723,0.115,0.268,156.031
64,Get to Gettin’ Gone,Bailey Zimmerman,,Get to Gettin’ Gone,2023-01-11,64,182465,0.584,0.68,6,-6.781,1,0.0351,0.285,0,0.0901,0.55,146.093
65,Angels in Disguise,Truck Pierce,,Angels in Disguise,2023-08-04,37,273893,0.493,0.718,9,-6.56,1,0.0327,0.221,0,0.101,0.42,145.961
66,Thank God,Kane Brown,Katelyn Brown,Different Man,2022-09-09,71,174560,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945
67,You Proof,Morgan Wallen,,You Proof,2023-03-03,83,157477,0.728,0.818,9,-5.068,1,0.0329,0.323,0,0.582,0.681,119.706
68,Every Night Every Morning,Maddie & Tae,,Every Night Every Morning,2022-09-23,55,198000,0.614,0.778,7,-4.58,1,0.0296,0.0103,0,0.169,0.62,123.914
69,All I Need Is You,Chris Janson,,The Outlaw Side Of Me,2023-06-16,53,162344,0.606,0.757,1,-6.206,1,0.0302,0.0157,0.000205,0.343,0.588,103.051
70,Brown Eyes Baby,Keith Urban,,Brown Eyes Baby,2022-07-08,57,224333,0.565,0.823,8,-4.973,1,0.0328,0.232,0.00000389,0.0715,0.522,141.972
71,One Thing At A Time,Morgan Wallen,,One Thing At A Time (Sampler),2023-03-03,86,181621,0.621,0.779,8,-3.777,1,0.0361,0.216,0.00000862,0.165,0.399,172.037
72,Handle On You,Parker McCollum,,Handle On You,2023-05-12,67,219967,0.591,0.928,6,-3.925,1,0.0316,0.00441,0,0.291,0.619,105.025
